domain,corpus,partner_motion,ownership,crm,partner_people,prm,currentness,research_status
2bit.it,discovery_batch,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
3mdeutschland.de,discovery_batch,ESTABLISHED,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,partial
allisontransmission.com,discovery_batch,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
allthingstalk.com,discovery_batch,ESTABLISHED,UNKNOWN,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,partial
apicbase.com,discovery_batch,UNKNOWN,UNKNOWN,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
appelit.com,discovery_batch,ESTABLISHED,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
atomsenses.com,discovery_batch,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
attachmentwarehouse.eu,discovery_batch,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
avast.com,discovery_batch,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
bytes.co.uk,discovery_batch,ESTABLISHED,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
canonical.com,discovery_batch,ESTABLISHED,ESTABLISHED,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
cloud.ionos.co.uk,discovery_batch,ESTABLISHED,PARTIAL,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
comarch.de,discovery_batch,ESTABLISHED,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
conwex.de,discovery_batch,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
datacore.com,discovery_batch,ESTABLISHED,ESTABLISHED,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
ebp.com,discovery_batch,ESTABLISHED,ESTABLISHED,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
edisoftware.it,discovery_batch,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
ei3.com,discovery_batch,ESTABLISHED,UNKNOWN,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
expo-e.uk,discovery_batch,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
fb-automation.com,discovery_batch,UNKNOWN,UNKNOWN,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
firstcomeurope.co.uk,discovery_batch,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
fortinet.com,discovery_batch,ESTABLISHED,ESTABLISHED,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
gestan.fr,discovery_batch,UNKNOWN,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
giersch.de,discovery_batch,ESTABLISHED,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,partial
gofilemaker.de,discovery_batch,ESTABLISHED,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,partial
heidenhain.com,discovery_batch,ESTABLISHED,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,partial
iotopen.io,discovery_batch,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
korewireless.com,discovery_batch,ESTABLISHED,ESTABLISHED,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
lumen.com,discovery_batch,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
machineering.de,discovery_batch,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
motorolasolutions.com,discovery_batch,ESTABLISHED,UNKNOWN,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
myfactory.com,discovery_batch,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
nordfarm.se,discovery_batch,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
ositalia.com,discovery_batch,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
paloaltonetworks.com,discovery_batch,ESTABLISHED,ESTABLISHED,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
saas-partner.de,discovery_batch,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
sage.com,discovery_batch,UNKNOWN,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
softwaresemplice.it,discovery_batch,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
start-platform.com,discovery_batch,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
stesi.it,discovery_batch,ESTABLISHED,UNKNOWN,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
