dimension,bucket,observations,decisive_observations,accounts_uniquely_unlocked
funnel,accounts researched,77,,
funnel,CRM research attempted,77,,
funnel,careers surface reachable,59,,
funnel,jobs found (>=1 readable vacancy),54,,
funnel,relevant (non-partner) jobs read,54,,
funnel,any CRM language in a job source,9,,
funnel,vendor-specific evidence (any source),27,,
funnel,operational possession evidence,4,,
funnel,current CRM established,3,,
funnel,historical CRM established,0,,
funnel,conflicts,1,,
funnel,remains unknown,74,,
job_family,partner/channel,3,0,0
job_family,RevOps / Sales Ops,2,1,0
job_family,Marketing Ops,5,0,0
job_family,Customer Success,1,0,0
job_family,AE / Sales,7,3,2
job_family,other / untitled,19,1,1
source,company_ats_vacancy,20,3,2
source,company_current_vacancy,11,1,1
source,company_cached_vacancy,0,0,0
source,company_careers_index,6,1,1
source,recruiting_mirror,0,0,0
source,job_board_reproduction,0,0,0
source,public_linkedin_job,0,0,0
source,search_snippet,0,0,0
source,website_fingerprint,32,0,0
source,company_documentation,0,0,0
