company,domain,country,region,sector,language,discovery_mechanism,discovery_provenance,entity_resolution_state,partner_motion_state,programme_ownership,programme_types,commercial_partner_motion,referral_state,lead_sharing_state,co_sell_state,deal_registration_state,partner_pipeline_state,partner_onboarding_state,partner_enablement_state,partner_tiers_state,partner_portal_state,partner_incentives_state,partner_attribution_state,partner_directory_state,programme_scale_state,programme_scale_claimed,programme_scale_noun,directory_entries_observed,informal_programme_signature,crm_state,crm_vendor,crm_evidence_strength,current_crm_evidence,historical_crm_evidence,crm_conflict,crm_latest_strong_evidence_date,crm_evidence_source,job_research_attempted,current_jobs_found,historical_jobs_found,jobs_inspected,non_partner_jobs_inspected,crm_job_mentions,crm_job_confirmations,linkedin_research_attempted,linkedin_accessible,linkedin_unique_evidence,partner_people_state,partner_people_observed,partner_roles,prm_state,prm_vendor,temporal_evidence,sources_inspected,queries_executed,pages_inspected,evidence_sufficiency,commercial_review_readiness,failure_stage,failure_reason,missing_critical_fields
,2bit.it,unknown,IT,software,it,search_query_family,query family ITALIAN_RESELLER_OPERATOR,confirmed,unknown,unknown,,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,no,no,,,,yes,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,22,0,3,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,R1_PAGE_NOT_RETRIEVED,Pages were read but no partner surface was located.,partner_motion|crm|deal_registration|partner_people|programme_scale
,3ds.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,reseller,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,confirmed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,11,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,3mdeutschland.de,unknown,DACH,industrial,de,search_query_family,query family ENGLISH_SYSTEM_INTEGRATOR_PROGRAM,confirmed,established,unknown,reseller,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,confirmed,not_observed,,,,not_attempted,unknown,,unknown,no,no,,,,yes,2,0,2,2,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,23,0,4,partial,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,P1_NOT_PUBLIC,2 vacancies read and none named a CRM. The company does not publish it.,crm|deal_registration|partner_people|programme_scale
,accruent.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,reseller|referral|system_integrator|solution_partner,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,9,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,acquia.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,implementation|services|reseller|system_integrator|solution_partner,strong_proxy,not_observed,not_observed,not_observed,confirmed,not_observed,not_observed,confirmed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,competitor_prm_confirmed,,not_attempted,0,0,9,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|partner_people|programme_scale
Acumatica,acumatica.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by mindmatrix.net (enterprise PRM),confirmed,established,unknown,reseller|referral,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,not_informal,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
aftersell,aftersell.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by kiflo.com (smb PRM),confirmed_by_first_party_name_match,established,direct,agency|technology|affiliate|solution_partner,weak_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,formalised_programme,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,aikido.dev,BE,unknown,unknown,not_attempted,manual_seed,supplied by hand in an earlier phase,confirmed,established,direct,reseller|technology|msp|solution_partner,confirmed,not_observed,not_observed,confirmed,confirmed,not_observed,not_observed,not_observed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_observed,,,0,not_attempted,established,HubSpot,confirmed_current,yes,no,,2026-06-23 11:55:04 UTC,company_ats_vacancy,yes,33,7,40,35,1,1,yes,accessible_via_index,people_only,two_or_more,2,"Jake Vogt — Partner Manager, East | Thomas Segura — Partnerships Manager",unknown,,not_attempted,68,0,6,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,NONE,Motion and CRM both established.,programme_scale
aircall,aircall.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by partnerstack.com (mid_market PRM),confirmed_by_first_party_name_match,established,direct,services|integration|system_integrator|solution_partner,strong_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,formalised_programme,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,aircall.io,FR,unknown,unknown,not_attempted,manual_seed,supplied by hand in an earlier phase,confirmed,established,direct,services|integration|system_integrator|solution_partner,strong_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,confirmed,confirmed,not_attempted,not_attempted,not_observed,claimed,23000,businesses,0,formalised_programme,established,Salesforce,confirmed_current,yes,no,multiple_systems,2026-08-17T08:11:39-04:00,company_ats_vacancy,yes,40,0,40,38,15,2,yes,accessible_via_index,people_only,two_or_more,2,"Adam Bailes — Partnerships Manager UKI & Nordics | Frédéric Viet — international sales, indirect channel",unknown,,not_attempted,73,0,10,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,NONE,Motion and CRM both established.,deal_registration
