dimension,bucket,n,motion_pct,ownership_pct,crm_decisive_pct,deal_reg_pct,review_ready_pct,warning
sector,unknown,109,69.7,60.6,2.8,7.3,57.8,
sector,software,24,62.5,45.8,0,8.3,37.5,
sector,manufacturing,7,28.6,14.3,0,0,14.3,
sector,iot_hardware,6,100,50,0,16.7,50,
sector,industrial,3,66.7,0,0,0,0,CELL TOO SMALL — do not compare
sector,cybersecurity,2,100,100,0,0,100,CELL TOO SMALL — do not compare
region,unknown,109,69.7,60.6,2.8,7.3,57.8,
region,DACH,11,54.5,9.1,0,0,9.1,
region,US/global,6,100,50,0,16.7,50,
region,UK,6,100,66.7,0,16.7,66.7,
region,FR,6,50,83.3,0,0,50,
region,IT,5,20,0,0,0,0,CELL TOO SMALL — do not compare
region,US,2,50,50,0,0,50,CELL TOO SMALL — do not compare
region,Benelux,2,100,50,0,50,50,CELL TOO SMALL — do not compare
region,Nordics,2,0,0,0,0,0,CELL TOO SMALL — do not compare
region,US/CA,2,100,100,0,0,100,CELL TOO SMALL — do not compare
language,not_attempted,109,69.7,60.6,2.8,7.3,57.8,
language,en,16,93.8,62.5,0,12.5,62.5,
language,de,11,54.5,9.1,0,0,9.1,
language,fr,6,50,83.3,0,0,50,
language,it,5,20,0,0,0,0,CELL TOO SMALL — do not compare
language,nl,2,100,50,0,50,50,CELL TOO SMALL — do not compare
language,sv,2,0,0,0,0,0,CELL TOO SMALL — do not compare
mechanism,prm_customer_harvest,45,77.8,57.8,0,0,57.8,
mechanism,search_query_family,42,64.3,40.5,0,7.1,35.7,
mechanism,manual_seed,34,58.8,55.9,8.8,8.8,50,
mechanism,counterparty_inversion,30,70,70,0,16.7,66.7,
