cumulocity.com       teamPages=1 titles=0 named=0 | partnerPages=0 titles=0 named=0
factorialhr.com      teamPages=0 titles=0 named=0 | partnerPages=2 titles=0 named=0
safebreach.com       teamPages=1 titles=0 named=0 | partnerPages=3 titles=0 named=0
xelix.com            teamPages=1 titles=0 named=0 | partnerPages=1 titles=0 named=0
sedai.io             teamPages=3 titles=0 named=0 | partnerPages=1 titles=0 named=0
zenity.io            teamPages=1 titles=1 named=1 | partnerPages=1 titles=0 named=0
quatt.io             teamPages=1 titles=0 named=0 | partnerPages=1 titles=0 named=0
loxone.com           teamPages=4 titles=0 named=0 | partnerPages=3 titles=0 named=0
teamleader.eu        teamPages=2 titles=0 named=0 | partnerPages=1 titles=0 named=0
enphase.com          teamPages=3 titles=0 named=0 | partnerPages=3 titles=0 named=0
wrote phase0/out/persona.v1.json
