45 proxy positives (stratified)
[1/45] crossbeam.com              smb         suppressed_partner_tech motion=Y
[2/45] chainlane.io               smb         informal_programme     motion=Y
[3/45] effectconnect.com          smb         not_informal           motion=Y
[4/45] aftersell.com              smb         formalised_programme   motion=Y
[5/45] intershop.com              smb         formalised_programme   motion=Y
[6/45] holded.com                 smb         not_informal           motion=Y
[7/45] flipcx.ai                  smb         not_informal           motion=n
[8/45] donorbox.com               smb         not_informal           motion=Y
[9/45] judysecurity.com           smb         not_informal           motion=Y
[10/45] rotageek.com               smb         informal_programme     motion=n
[11/45] ppc-protect.com            smb         not_informal           motion=n
[12/45] shoppingfeed.com           smb         not_informal           motion=Y
[13/45] searchspring.com           smb         formalised_programme   motion=Y
[14/45] ipsystems.com              smb         not_informal           motion=n
[15/45] partnernomics.com          smb         not_informal           motion=Y
[16/45] surfe.com                  smb         informal_programme     motion=Y
[17/45] skio.com                   smb         informal_programme     motion=Y
[18/45] superchat.com              smb         informal_programme     motion=Y
[19/45] totalsoft.co               smb         not_informal           motion=Y
[20/45] aircall.com                mid_market  formalised_programme   motion=Y
[21/45] apollo.com                 mid_market  not_informal           motion=n
[22/45] carbon6.io                 mid_market  informal_programme     motion=Y
[23/45] appdirect.com              mid_market  not_informal           motion=Y
[24/45] bombbomb.com               mid_market  not_informal           motion=Y
[25/45] bolt.io                    mid_market  not_informal           motion=n
[26/45] channelscaler.com          mid_market  suppressed_partner_tech motion=Y
[27/45] close.com                  mid_market  formalised_programme   motion=Y
[28/45] clickup.com                mid_market  formalised_programme   motion=Y
[29/45] ctera.com                  mid_market  formalised_programme   motion=Y
[30/45] demandbase.com             mid_market  formalised_programme   motion=Y
[31/45] foxit.com                  mid_market  not_informal           motion=Y
[32/45] drip.eu                    mid_market  not_informal           motion=n
[33/45] formstack.com              mid_market  informal_programme     motion=Y
[34/45] fundraiseup.com            mid_market  informal_programme     motion=Y
[35/45] fiverr.co                  mid_market  not_informal           motion=n
[36/45] acumatica.com              enterprise  not_informal           motion=Y
[37/45] genesys.com                mid_market  not_informal           motion=Y
[38/45] avalara.com                enterprise  formalised_programme   motion=Y
[39/45] getresponse.com            mid_market  formalised_programme   motion=Y
[40/45] fvc.com                    enterprise  not_informal           motion=Y
[41/45] illumineenergy.com         enterprise  not_informal           motion=n
[42/45] litera.com                 enterprise  not_informal           motion=Y
[43/45] bluegorilladigital.com     enterprise  not_informal           motion=Y
[44/45] beamex.com                 enterprise  not_informal           motion=Y
[45/45] spotify.com                enterprise  not_informal           motion=n
DONE — 45
