[1/30] aikido.dev           board=recruitee        vac=40  crm=HubSpot:confirmed            ops=14
[2/30] aircall.io           board=greenhouse       vac=40  crm=Salesforce:confirmed         ops=11
[3/30] cubbit.io            board=-                vac=0   crm=-                            ops=0
[4/30] trengo.com           board=-                vac=0   crm=-                            ops=0
[5/30] archerirm.com        board=-                vac=0   crm=-                            ops=0
[6/30] planhat.com          board=-                vac=0   crm=-                            ops=0
[7/30] sana-commerce.com    board=smartrecruiters  vac=6   crm=-                            ops=0
[8/30] mews.com             board=-                vac=0   crm=-                            ops=0
[9/30] weglot.com           board=-                vac=0   crm=-                            ops=0
[10/30] getaccept.com        board=-                vac=0   crm=-                            ops=0
[11/30] pleo.io              board=ashby            vac=34  crm=Salesforce:mention_only      ops=13
[12/30] juro.com             board=-                vac=0   crm=-                            ops=0
[13/30] oneflow.com          board=-                vac=0   crm=-                            ops=0
[14/30] productsup.com       board=-                vac=0   crm=-                            ops=0
[15/30] channable.com        board=-                vac=0   crm=-                            ops=0
[16/30] spendesk.com         board=-                vac=0   crm=-                            ops=0
[17/30] lano.io              board=-                vac=0   crm=-                            ops=0
[18/30] twikey.com           board=-                vac=0   crm=-                            ops=0
[19/30] upsales.com          board=-                vac=0   crm=-                            ops=0
[20/30] apaleo.com           board=greenhouse       vac=7   crm=-                            ops=2
[21/30] foleon.com           board=recruitee        vac=1   crm=-                            ops=0
[22/30] payfit.com           board=-                vac=0   crm=-                            ops=0
[23/30] deloitte.com         board=lever            vac=40  crm=-                            ops=0
[24/30] doordash.com         board=-                vac=0   crm=-                            ops=0
[25/30] glovoapp.com         board=-                vac=0   crm=-                            ops=0
[26/30] datadoghq.com        board=-                vac=0   crm=-                            ops=0
[27/30] vinted.com           board=-                vac=0   crm=-                            ops=0
[28/30] factorialhr.com      board=-                vac=0   crm=-                            ops=0
[29/30] younium.com          board=-                vac=0   crm=-                            ops=0[[30/30] leapsome.com         board=-                vac=0   crm=-                            ops=0
DONE
